"Public de destination",Nom,Définition,Objectif,"Type de visualisation",Tables,Remarque
Usager,"Top 10 des plus empruntés","Liste des titres d'un même format (livre, DVD, etc.) ou liste des auteurs triée par nombre de prêt","valoriser, animer","Liste ",Auteur+titre+prêts,"A croiser avec un code collection, un code diplôme ou un type de doc pour personnaliser"
"Gestionnaire de collection","nombre de titres","nombre d'ouvrages de la collection","vue d'ensemble",Nombre,"notices biblio",
"Gestionnaire de collection","nombre de prêt","nombre d'ouvrage empruntés au moins une fois","vue d'ensemble",Nombre,"table exemplaires",
"Gestionnaire de collection","nombre d'exemplaires","nombre d'exemplaires de la collection","vue d'ensemble",Nombre,"notices exemplaire",
"Gestionnaire de collection","transactions par jour","Nombre de transaction de prêt par jour sur une période","visualiser les flux de prêt sur une période donnée",Histogramme,"date de transaction",
"Gestionnaire de collection","répartitition des prêts par mois et par UFR",,"Repérer les Ufr  dont les etudiants sont les +:- emprunteurs => développer avec des communicatons",histogramme,"date de transaction / table lecteur affection par ufr",
"Gestionnaire de collection","prêts par an et par discipline des lecteurs",,"Identifier les disciplines qui empruntent le plus et repérer les variations au cours du temps:
=> si baisse continue, s'interroger sur les raisons ...",histogramme,"table date de transaction / table discipline lecteur",
"Gestionnaire de collection","prêts par statut de lecteur",,"Identifier quelle catégorie de lecteur emprunte le plus / le moins",camembert,"table lecteur statut","à filtrer avec un code diplome pour affiner"
"Gestionnaire de collection","Prêts par affectation (UFR, labos etc.)",,"Identifier quel UFR, labos etc emprunte le plus / le moins",histogramme,"table affectation lecteur","à filtrer avec un ensemble de cotes (ex : 900*) pour vérifier qui emprunte une collection donnée"
"Gestionnaire de collection","prêts par catégorie de lecteurs et public cible ",,"Vérifier si les lecteurs qui empruntent les docs correspondent au public cible",histogramme,"table catégorie lecteur et public-cible biblio",
"Gestionnaire de collection","répartition des prêts par site",,"identifier les bib effectuant le +/- des prêts",barre,"tables exemplaires site",
"Gestionnaire de collection","répartition des prêts par cycle universitaire",,"identifier les prets selon le cycle d'étude  de l'étudiant",camembert,"filtre : table lecteur cycle universitaire","a mettre en rapport avec le nombre d'inscrits de l'universiité par cycle "
"Gestionnaire de collection","Age des documents par collection disciplinaire","répartition des documents par date de publication pour un segment de collection défini","visualiser l'âge d'une collection donnée, ex : visualiser la part de docs ayant moins de 5 ans, de 5 à 10 ans, de 10 à 15 ans etc. pour les docs en sciences sociales",histogramme," dates de publication par date range + ajout filtres pour les tranches de cotes","possibilité d'affiner comme on veut les tranches de cote ou les intervalles de date de publication"
"Gestionnaire de collection","répartition des prêts par mois et par statut lecteur",,"Visualiser les périodes de pics d'emprunt en fonction du type de lecteur. En particulier permet de voir si les lecteurs extérieurs de la bibliothèque ont un ""calendrier"" d'emprunt similaire à celui des étudiants",aire,"nombre de prêt en Y, mois en X, statuts des lecteurs en données",
"Gestionnaire de collection","répartition des prêts par type de document",,"visualiser les types de documents les plus empruntés",histogramme,"table biblio","a affiner par bib "
"Gestionnaire de collection","répartition par niveau et par discipline",,"visualiser des prets pr chaque catégorie de lecteurs et à l'intérieur leur appartenance d'UFR (discipline)","histogramme empilé","table lecteur",
"Gestionnaire de collection","prêts par date de création de la notice",,"Visualiser les liens entre fraicheur de la collection et emprunt",camembert,"Nombre de prêts+date de création notice (table exemplaire)+filtres à définir en fonction de périodes pertinentes","A affiner avec des codes collections ou segment de cotes et à lier avec les visualisations suivantes et l'âge de la collection"
"Gestionnaire de collection","répartition des prêts par date de publication",,"Visualiser les liens entre fraicheur de la collection et emprunt",camembert,"Nombre de prêts+date de création notice (table exemplaire)+filtres à définir en fonction de périodes pertinentes","A lier avec la visualisation précédente"
"Gestionnaire de collection","répartition des prêts par date de création d'exemplaires",,"Visualiser les liens entre fraicheur de la collection et emprunt",camembert,"Nombre de prêts+date de publication (notice bib)+filtres à définir en fonction de périodes pertinentes","A lier avec la visualisation précédente"
